Date,Open,High,Low,Close,Adj Close,Volume
2021-02-08,2.375894,2.672445,2.241594,2.375011,2.375011,17801852
2021-02-09,2.404488,2.649342,2.190781,2.359351,2.359351,12060184
2021-02-10,2.362004,2.604449,2.328603,2.419288,2.419288,10062041
2021-02-11,2.418908,2.596073,2.357577,2.387531,2.387531,8406231
2021-02-12,2.388223,3.775261,2.369027,3.464817,3.464817,50414419
2021-02-13,3.455005,4.222631,3.299761,3.980221,3.980221,32348901
2021-02-14,3.975332,3.996748,3.413962,3.813298,3.813298,13135156
2021-02-15,3.817732,3.869770,3.340542,3.521841,3.521841,11142159
2021-02-16,3.547987,3.723635,3.446109,3.597060,3.597060,8082415
2021-02-17,3.583566,3.998565,3.464674,3.916589,3.916589,11657201
2021-02-18,3.917004,4.729296,3.864555,4.729296,4.729296,23250905
2021-02-19,4.723703,6.138254,4.687062,5.849938,5.849938,49952537
2021-02-20,5.813752,7.215046,5.479512,6.902348,6.902348,64474788
2021-02-21,6.908574,7.209999,6.342323,6.829437,6.829437,36348315
2021-02-22,6.877355,6.884747,4.939219,6.195257,6.195257,44515808
2021-02-23,6.170967,6.527517,4.393408,5.936126,5.936126,49811095
2021-02-24,5.945886,7.263400,5.607590,6.879519,6.879519,32001721
2021-02-25,6.891130,7.242929,6.572045,6.934407,6.934407,29964075
2021-02-26,6.935220,7.013574,6.272741,6.440414,6.440414,19687228
2021-02-27,6.438395,6.523010,5.682022,5.930440,5.930440,26016946
2021-02-28,5.912546,6.560889,5.214009,6.336213,6.336213,23537887
2021-03-01,6.366637,7.081905,6.246509,6.970392,6.970392,18184799
2021-03-02,6.958008,6.975180,6.392533,6.585030,6.585030,9539709
2021-03-03,6.568778,6.860421,6.407500,6.457939,6.457939,12864239
2021-03-04,6.458724,6.471094,5.500149,5.702438,5.702438,18515116
2021-03-05,5.736471,6.546953,5.243125,5.680552,5.680552,31582664
2021-03-06,5.695927,5.947685,5.358163,5.784823,5.784823,9311247
2021-03-07,5.782486,6.498573,5.756993,6.090234,6.090234,10508339
2021-03-08,6.084769,6.144652,5.641250,5.658487,5.658487,10381007
2021-03-09,5.671425,6.258479,5.369118,6.016105,6.016105,22685927
2021-03-10,6.020115,6.112545,5.638501,5.802197,5.802197,10504835
2021-03-11,5.799532,5.896095,5.471702,5.568679,5.568679,8772633
2021-03-12,5.557004,5.871959,5.075109,5.256711,5.256711,15023278
2021-03-13,5.246183,5.490269,5.048540,5.110401,5.110401,15238551
2021-03-14,5.093143,5.410053,4.771999,4.945362,4.945362,15366296
2021-03-15,4.931265,6.022095,4.714856,5.495938,5.495938,18762844
2021-03-16,5.469570,5.811388,4.819538,5.037326,5.037326,18160743
2021-03-17,5.044559,5.403713,4.760860,5.241617,5.241617,13426723
2021-03-18,5.255280,5.272608,4.721987,4.981443,4.981443,11090524
2021-03-19,4.990653,5.065575,4.777045,4.851772,4.851772,10845674
2021-03-20,4.840001,4.884510,4.591785,4.618879,4.618879,15864370
2021-03-21,4.607883,4.866889,4.349987,4.642818,4.642818,14176857
2021-03-22,4.636817,4.841105,4.389030,4.577924,4.577924,11574442
