Date,Open,High,Low,Close*,Adj Close**,Volume
29-Apr-21,20.29,20.38,18.4,19.02,19.02,"872,500"
28-Apr-21,20.17,20.56,19.35,19.35,19.35,"594,600"
27-Apr-21,19.97,21.27,19.21,20.19,20.19,"692,100"
26-Apr-21,19.5,20.81,19.2,20.2,20.2,"719,000"
23-Apr-21,17.25,19.45,15.75,18.5,18.5,"1,224,600"
22-Apr-21,19.56,21.5,17.32,17.94,17.94,"1,965,900"
21-Apr-21,15.6,20.66,15.15,19.98,19.98,"2,241,100"
20-Apr-21,17.9,18.42,15.95,16.93,16.93,"2,315,000"
19-Apr-21,19,20.05,17.6,19.22,19.22,"2,454,300"
16-Apr-21,21.56,22.4,19.99,21.26,21.26,"1,564,400"
15-Apr-21,22.5,23.95,20,22.13,22.13,"2,099,000"
14-Apr-21,27.62,27.62,21.95,22.05,22.05,"2,825,000"
13-Apr-21,26.25,29.2,23.97,25.48,25.48,"1,812,200"
12-Apr-21,27.6,28.5,25.58,26.09,26.09,"1,269,400"
9-Apr-21,25.8,26.79,25.34,26.68,26.68,"901,000"
8-Apr-21,23.38,25.64,23.38,25.5,25.5,"1,370,600"
7-Apr-21,25.9,27.43,22.9,23.02,23.02,"2,402,900"
6-Apr-21,29.5,30.2,26.49,27.43,27.43,"1,542,000"
5-Apr-21,27.85,29.85,27.4,29,29,"1,322,200"
1-Apr-21,26.26,27.88,26.15,27.39,27.39,"1,238,200"
